episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_plan_found,planner_fallback_to_rl,planner_solved,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,0.0,254,0,0.0,0,0,0,0,0,none,RuntimeError: No AML model available yet; deferring to RL.,-0.10965662449598312,11.083921099983854,23.844742999994196
1,0.0,255,0,0.0,0,0,1,1,0,metric_ff,,-0.09228149801492691,13.766850699990755,25.789063400006853
2,0.0,254,0,0.0,0,0,1,1,0,metric_ff,,-0.09563711285591125,11.647944399999687,23.661926400003722
3,0.0,252,0,0.0,0,0,1,1,0,metric_ff,,-0.10241828858852386,12.488491299998714,23.654582599992864
4,0.0,259,0,0.0,0,0,1,1,0,metric_ff,,-0.10800370573997498,13.229299200000241,25.315818900009617
5,0.0,255,0,0.0,0,0,1,1,0,metric_ff,,-0.07234485447406769,12.596088100021007,24.710929199995007
6,0.0,258,0,0.0,0,0,1,1,0,metric_ff,,-0.08757608383893967,12.917772899992997,24.129351399984444
7,0.0,254,0,0.0,0,0,1,1,0,metric_ff,,-0.08694939315319061,13.606615500000771,25.750522099988302
8,0.0,253,0,0.0,0,0,1,1,0,metric_ff,,-0.097775399684906,12.886935699993046,23.6131611999881
9,1.0,253,1,0.1,253,0,1,1,0,metric_ff,,-0.08323486149311066,11.846221099985996,23.709812799992505
10,0.0,258,0,0.09090909090909091,253,0,1,1,0,metric_ff,,-0.08802024275064468,11.444957599975169,23.276971800019965
11,1.0,5,1,0.16666666666666666,258,1,1,0,1,metric_ff,,-0.09564923495054245,12.251364099996863,12.505442700028652
12,0.0,254,0,0.15384615384615385,258,0,1,1,0,metric_ff,,-0.08043904602527618,10.163442099990789,20.681133700010832
13,1.0,228,1,0.21428571428571427,486,0,1,1,0,metric_ff,,-0.06295081973075867,9.41134079999756,20.391669800010277
14,0.0,255,0,0.2,486,0,1,1,0,metric_ff,,-0.06952118873596191,11.092913600004977,21.56633669999428
15,0.0,252,0,0.1875,486,0,1,1,0,metric_ff,,-0.06321379542350769,9.597810499981279,20.222542900010012
16,0.0,254,0,0.17647058823529413,486,0,1,1,0,metric_ff,,-0.04699189215898514,7.859919800015632,19.80963130001328
17,0.0,256,0,0.16666666666666666,486,0,1,1,0,metric_ff,,-0.05852918326854706,8.367529000010109,20.510848499980057
18,0.0,257,0,0.15789473684210525,486,0,1,1,0,metric_ff,,-0.04286922514438629,8.0498888999864,18.753158399980748
19,1.0,156,1,0.2,642,0,1,1,0,metric_ff,,-0.0449853278696537,8.93344569997862,16.24697720000404
20,0.0,251,0,0.19047619047619047,642,0,1,1,0,metric_ff,,-0.05255446210503578,9.131695600022795,21.131666900007986
21,0.0,255,0,0.18181818181818182,642,0,1,1,0,metric_ff,,-0.05418109893798828,8.37084240000695,20.47632070002146
22,0.0,256,0,0.17391304347826086,642,0,1,1,0,metric_ff,,-0.05001860484480858,7.7461051999998745,19.899581600009697
23,0.0,252,0,0.16666666666666666,642,0,1,1,0,metric_ff,,-0.0472000315785408,8.63136349999695,20.912845200015
24,0.0,254,0,0.16,642,0,1,1,0,metric_ff,,-0.05760478228330612,8.646789599995827,20.914374700019835
25,1.0,5,1,0.2,647,1,1,0,1,metric_ff,,-0.05214793235063553,8.022839500015834,8.290522399998736
