episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,1.0,56,1,1.0,56,0,none,RuntimeError: No AML model available yet; deferring to RL.,-0.041769273579120636,1.208223800000269,1.4592962999886367
1,0.0,278,0,0.5,56,1,metric_ff,,-0.0357135571539402,1.3557491999818012,2.190074000012828
2,1.0,37,1,0.6666666666666666,93,1,metric_ff,,-0.042455513030290604,1.4634946000005584,1.6724265000084415
3,0.0,283,0,0.5,93,1,metric_ff,,-0.0401621088385582,1.547156000015093,2.6764505000028294
4,0.0,288,0,0.4,93,1,metric_ff,,-0.05093908682465553,1.6442426999856252,3.4668680999893695
5,1.0,182,1,0.5,275,1,metric_ff,,-0.04871068149805069,1.5250897000078112,2.311529500002507
6,1.0,6,1,0.5714285714285714,281,1,metric_ff,,-0.05278275907039642,1.3665354000113439,1.4072215000051074
7,0.0,286,0,0.5,281,1,metric_ff,,-0.04151134938001633,1.4920137000153773,2.9033597000234295
8,0.0,291,0,0.4444444444444444,281,1,metric_ff,,-0.051015641540288925,1.4877613999997266,2.4519920000166167
9,1.0,5,1,0.5,286,1,metric_ff,,-0.043996602296829224,1.4358651000075042,1.484291899978416
10,0.0,284,0,0.45454545454545453,286,1,metric_ff,,-0.048009876161813736,1.5011653999972623,2.677323499985505
11,1.0,137,1,0.5,423,1,metric_ff,,-0.04086165502667427,1.4930528000113554,2.1228212999994867
12,1.0,5,1,0.5384615384615384,428,1,metric_ff,,-0.051305755972862244,1.530367400002433,1.5850058000069112
13,1.0,5,1,0.5714285714285714,433,1,metric_ff,,-0.05109301209449768,1.4043088000034913,1.4536699000163935
14,1.0,57,1,0.6,490,1,metric_ff,,-0.038652632385492325,1.325042400014354,1.581586900021648
15,0.0,283,0,0.5625,490,1,metric_ff,,-0.02797817252576351,1.410639200010337,2.5354177999834064
16,0.0,299,0,0.5294117647058824,490,1,metric_ff,,-0.024092674255371094,1.1517135000030976,2.473072900000261
17,0.0,291,0,0.5,490,1,metric_ff,,-0.029240809381008148,1.4105467000044882,2.7682296999846585
18,1.0,212,1,0.5263157894736842,702,1,metric_ff,,-0.03662005066871643,1.404147000022931,2.1895672000246122
19,1.0,6,1,0.55,708,1,metric_ff,,-0.033457428216934204,1.976084300025832,2.052951799996663
20,1.0,5,1,0.5714285714285714,713,1,metric_ff,,-0.06496234238147736,1.4442312000028323,1.507099799986463
21,1.0,5,1,0.5909090909090909,718,1,metric_ff,,-0.054234858602285385,1.403174000006402,1.4671949000039604
22,0.0,301,0,0.5652173913043478,718,1,metric_ff,,-0.043496545404195786,1.5053019000042696,2.6675757999764755
23,0.0,278,0,0.5416666666666666,718,1,metric_ff,,-0.02811332792043686,1.4385940000065602,2.6776078999973834
24,0.0,290,0,0.52,718,1,metric_ff,,-0.046388786286115646,1.456835899996804,2.7378258999960963
25,1.0,8,1,0.52,726,1,metric_ff,,-0.03772299736738205,1.4189827000082005,1.5165603999921586
26,0.0,285,0,0.52,726,1,metric_ff,,-0.02786448411643505,1.3555870999989565,2.5745195999916177
27,1.0,18,1,0.52,744,1,metric_ff,,-0.03958873450756073,1.452300800010562,1.5849492000124883
28,1.0,30,1,0.56,774,1,metric_ff,,-0.022090617567300797,1.462651600013487,1.6553320999955758
29,0.0,289,0,0.56,774,1,metric_ff,,-0.05283914878964424,1.3075278000032995,2.7207980999955907
30,1.0,12,1,0.56,786,1,metric_ff,,-0.02504928968846798,1.2503533999843057,1.3216826999851037
31,0.0,288,0,0.52,786,1,metric_ff,,-0.018603993579745293,1.1261448999866843,2.4733171999978367
32,0.0,286,0,0.52,786,1,metric_ff,,-0.020260149613022804,0.9819159999897238,2.37771500000963
33,0.0,275,0,0.52,786,1,metric_ff,,-0.0013218714157119393,1.0234600999974646,2.271696299983887
