episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,0.0,287,0,0.0,0,0,none,RuntimeError: No AML model available yet; deferring to RL.,nan,1.7904985999921337,3.136256700003287
1,1.0,19,1,0.5,19,1,metric_ff,,0.07755855470895767,1.322657100012293,1.4435301999910735
2,1.0,17,1,0.6666666666666666,36,1,metric_ff,,0.04565595090389252,1.1110415000002831,1.2109295999980532
3,0.0,300,0,0.5,36,1,metric_ff,,0.06920889765024185,1.0151883999933489,2.3634135000174865
4,0.0,288,0,0.4,36,1,metric_ff,,0.04654204100370407,1.1179422999848612,2.5686312000034377
5,1.0,74,1,0.5,110,1,metric_ff,,0.024788394570350647,1.1388777999964077,1.570234899991192
6,0.0,284,0,0.42857142857142855,110,1,metric_ff,,0.031127657741308212,1.0918900999822654,2.528047500003595
7,1.0,84,1,0.5,194,1,metric_ff,,0.02491872012615204,1.9230210999958217,2.3952960000024177
8,0.0,303,0,0.4444444444444444,194,1,metric_ff,,0.033937085419893265,1.043203299981542,2.5601959000050556
9,1.0,72,1,0.5,266,1,metric_ff,,0.03544752299785614,1.0995686000096612,1.5372568000166211
10,0.0,297,0,0.45454545454545453,266,1,metric_ff,,0.032293494790792465,1.0446163000015076,2.556372299994109
11,0.0,274,0,0.4166666666666667,266,1,metric_ff,,0.021626831963658333,1.005331499996828,2.5338513999886345
12,1.0,81,1,0.46153846153846156,347,1,metric_ff,,0.018418293446302414,1.0588841999997385,1.481522899994161
13,0.0,293,0,0.42857142857142855,347,1,metric_ff,,0.03431641310453415,1.195542999979807,3.165648299996974
14,0.0,278,0,0.4,347,1,metric_ff,,0.023277522996068,1.1118123000196647,2.5433873000147287
15,1.0,147,1,0.4375,494,1,metric_ff,,0.02213096246123314,0.9588804999948479,1.7432740000076592
16,1.0,285,1,0.47058823529411764,779,1,metric_ff,,0.02001495659351349,1.1566087999963202,2.7323918000038248
17,0.0,297,0,0.4444444444444444,779,1,metric_ff,,0.025410601869225502,1.4308679999958258,3.059225000004517
18,0.0,279,0,0.42105263157894735,779,1,metric_ff,,0.019843976944684982,1.6644623999891337,3.1845345000037923
19,1.0,66,1,0.45,845,1,metric_ff,,0.006361106876283884,1.1158187999972142,1.4963064000185113
20,1.0,5,1,0.47619047619047616,850,1,metric_ff,,0.026709256693720818,1.1106538000167347,1.209051800018642
21,1.0,240,1,0.5,1090,1,metric_ff,,0.029316380620002747,1.1223025000072084,2.4072111999848858
22,1.0,176,1,0.5217391304347826,1266,1,metric_ff,,0.025882728397846222,1.2091752999986056,2.179639899986796
23,1.0,17,1,0.5416666666666666,1283,1,metric_ff,,0.03461974486708641,1.306190000002971,1.470463400008157
24,1.0,36,1,0.56,1319,1,metric_ff,,0.01936531439423561,1.116008499986492,1.3797303000173997
25,0.0,295,0,0.56,1319,1,metric_ff,,0.03286850452423096,0.9775613000092562,2.6454777999897487
26,1.0,47,1,0.56,1366,1,metric_ff,,0.02455565705895424,2.0616302999842446,2.460634299990488
27,0.0,294,0,0.52,1366,1,metric_ff,,0.014540394768118858,1.141706599999452,2.8211403000168502
28,0.0,287,0,0.52,1366,1,metric_ff,,0.02662082016468048,1.0668183999950998,2.442493900016416
29,1.0,17,1,0.56,1383,1,metric_ff,,0.02644679695367813,1.2055094999959692,1.3942714000004344
30,1.0,194,1,0.56,1577,1,metric_ff,,0.02119632437825203,1.1646277999971062,2.3906996000150684
31,1.0,251,1,0.6,1828,1,metric_ff,,0.01858537085354328,1.2003498999984004,2.3644096000061836
32,1.0,5,1,0.6,1833,1,metric_ff,,0.023510323837399483,1.7282036999822594,1.858626799978083
33,1.0,5,1,0.64,1838,1,metric_ff,,0.045258935540914536,1.2624811999849044,1.3805105999927036
34,1.0,5,1,0.64,1843,1,metric_ff,,0.00916281621903181,1.1297581999970134,1.2615945000143256
35,1.0,33,1,0.68,1876,1,metric_ff,,0.01378106139600277,1.163455600006273,1.4325437000079546
36,0.0,280,0,0.68,1876,1,metric_ff,,0.005667508579790592,1.2386065000027884,2.743291299993871
37,0.0,288,0,0.64,1876,1,metric_ff,,0.017640210688114166,1.1693486000003759,2.7451550000114366
38,0.0,284,0,0.64,1876,1,metric_ff,,0.014678752049803734,1.114711600006558,2.7526403999945614
39,1.0,60,1,0.68,1936,1,metric_ff,,0.05995164066553116,1.6582634999940637,2.1127584999776445
40,0.0,293,0,0.64,1936,1,metric_ff,,0.04211217537522316,1.2041778000129852,2.729893900017487
41,1.0,10,1,0.64,1946,1,metric_ff,,0.08077103644609451,1.134497899998678,1.2897080999973696
42,1.0,6,1,0.68,1952,1,metric_ff,,0.03937280550599098,1.161655800009612,1.3107462000043597
43,1.0,9,1,0.72,1961,1,metric_ff,,0.026616539806127548,1.2456750999845099,1.4172962000011466
44,1.0,219,1,0.72,2180,1,metric_ff,,0.01077030599117279,1.1206495000224095,2.3894345000153407
45,1.0,32,1,0.72,2212,1,metric_ff,,0.020266521722078323,1.109910300001502,1.4145098999724723
46,1.0,191,1,0.72,2403,1,metric_ff,,0.05319565162062645,2.2194671999895945,3.3377423000056297
47,1.0,5,1,0.72,2408,1,metric_ff,,0.01482582837343216,1.0415410999848973,1.1929074999934528
48,1.0,9,1,0.72,2417,1,metric_ff,,0.02423720806837082,1.0297415000095498,1.1867619999975432
