episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_plan_found,planner_fallback_to_rl,planner_solved,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,0.0,254,0,0.0,0,0,0,0,0,none,RuntimeError: No AML model available yet; deferring to RL.,-0.09971500933170319,12.302554399997462,22.258995799988043
1,0.0,252,0,0.0,0,0,1,1,0,metric_ff,,-0.1141791120171547,12.835671600012574,24.53199400001904
2,0.0,253,0,0.0,0,0,1,1,0,metric_ff,,-0.09005793184041977,11.683723800000735,22.181181300024036
3,0.0,265,0,0.0,0,0,1,1,0,metric_ff,,-0.0986909493803978,11.368975999997929,23.1193537999643
4,0.0,256,0,0.0,0,0,1,1,0,metric_ff,,-0.09271372109651566,12.591476399975363,22.966656400007196
5,1.0,6,1,0.16666666666666666,6,1,1,0,1,metric_ff,,-0.08811550587415695,11.361424100003205,11.613038999959826
6,0.0,254,0,0.14285714285714285,6,0,1,1,0,metric_ff,,-0.07205940037965775,12.414426499977708,24.10804459999781
7,1.0,5,1,0.25,11,1,1,0,1,metric_ff,,-0.10275477170944214,10.65180379996309,10.87882520002313
8,0.0,254,0,0.2222222222222222,11,0,1,1,0,metric_ff,,-0.09496903419494629,12.194695099955425,23.72043450002093
9,0.0,255,0,0.2,11,0,1,1,0,metric_ff,,-0.08493945747613907,11.817121999978554,22.53111009998247
10,0.0,257,0,0.18181818181818182,11,0,1,1,0,metric_ff,,-0.09039827436208725,12.588616600027308,23.96762619999936
11,0.0,256,0,0.16666666666666666,11,0,1,1,0,metric_ff,,-0.07476837188005447,12.408019600028638,23.964356299955398
12,0.0,254,0,0.15384615384615385,11,0,1,1,0,metric_ff,,-0.08160408586263657,11.36066230002325,21.665442100027576
13,0.0,253,0,0.14285714285714285,11,0,1,1,0,metric_ff,,-0.08441197872161865,12.491378100006841,22.712572300049942
14,0.0,254,0,0.13333333333333333,11,0,1,1,0,metric_ff,,-0.07884245365858078,12.137440400023479,23.831102299969643
15,0.0,257,0,0.125,11,0,1,1,0,metric_ff,,-0.07707979530096054,10.631436299998313,22.41019259998575
16,0.0,254,0,0.11764705882352941,11,0,1,1,0,metric_ff,,-0.08320211619138718,12.066024700005073,23.88228830002481
17,1.0,5,1,0.16666666666666666,16,1,1,0,1,metric_ff,,-0.08770186454057693,10.72575230000075,10.969682399998419
18,0.0,258,0,0.15789473684210525,16,0,1,1,0,metric_ff,,-0.07398189604282379,11.351838799950201,22.610137699986808
19,1.0,120,1,0.2,136,0,1,1,0,metric_ff,,-0.0645255297422409,11.732870000007097,16.65920890000416
20,0.0,250,0,0.19047619047619047,136,0,1,1,0,metric_ff,,-0.0836867168545723,12.722197700000834,24.14235630002804
21,0.0,254,0,0.18181818181818182,136,0,1,1,0,metric_ff,,-0.051878590136766434,10.747280999959912,22.444120200001635
22,0.0,256,0,0.17391304347826086,136,0,1,1,0,metric_ff,,-0.07466234266757965,12.032202700036578,23.241324900009204
23,0.0,260,0,0.16666666666666666,136,0,1,1,0,metric_ff,,-0.07418766617774963,12.109846300038043,22.236006299965084
24,0.0,256,0,0.16,136,0,1,1,0,metric_ff,,-0.066035196185112,12.468992599984631,23.97528810001677
25,0.0,257,0,0.16,136,0,1,1,0,metric_ff,,-0.07957016676664352,10.54152820003219,22.417729899985716
26,0.0,255,0,0.16,136,0,1,1,0,metric_ff,,-0.10454385727643967,10.76895209995564,22.2162524999585
27,0.0,252,0,0.16,136,0,1,1,0,metric_ff,,-0.07947149872779846,14.334560899995267,25.912195900047664
28,1.0,5,1,0.2,141,1,1,0,1,metric_ff,,-0.07153335213661194,13.14025070000207,13.436903800000437
29,0.0,254,0,0.2,141,0,1,1,0,metric_ff,,-0.05649714171886444,12.563908299955074,25.331322700018063
