episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_plan_found,planner_fallback_to_rl,planner_solved,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,0.0,260,0,0.0,0,0,0,0,0,none,RuntimeError: No AML model available yet; deferring to RL.,-0.09300998598337173,16.975699500006158,32.81369049998466
1,0.0,252,0,0.0,0,0,1,1,0,metric_ff,,-0.09736881405115128,16.535819999990053,33.268219699995825
2,0.0,256,0,0.0,0,0,1,1,0,metric_ff,,-0.09202570468187332,17.25922609999543,31.545227200025693
3,0.0,253,0,0.0,0,0,1,1,0,metric_ff,,-0.10508721321821213,17.07655940001132,33.03396790000261
4,1.0,6,1,0.2,6,1,1,0,1,metric_ff,,-0.10058731585741043,17.70465579998563,18.074982799997088
5,0.0,258,0,0.16666666666666666,6,0,1,1,0,metric_ff,,-0.09866497665643692,18.259690099977888,29.723129100020742
6,0.0,258,0,0.14285714285714285,6,0,0,0,0,none,RuntimeError: Metric-FF (WSL) timed out after 60s.,-0.08714361488819122,16.936559599998873,34.58049449999817
7,0.0,255,0,0.125,6,0,1,1,0,metric_ff,,-0.08265484124422073,17.40022179999505,31.362569300021278
8,0.0,254,0,0.1111111111111111,6,0,1,1,0,metric_ff,,-0.0878513753414154,15.968959599995287,30.63656899999478
9,1.0,5,1,0.2,11,1,1,0,1,metric_ff,,-0.08827138692140579,14.803388300002553,15.138063799997326
10,0.0,254,0,0.18181818181818182,11,0,1,1,0,metric_ff,,-0.10676158964633942,15.75238970000646,32.97885389998555
11,0.0,255,0,0.16666666666666666,11,0,1,1,0,metric_ff,,-0.09887515753507614,17.38886750000529,32.22419000000809
12,0.0,257,0,0.15384615384615385,11,0,1,1,0,metric_ff,,-0.05957544595003128,16.403875399992103,32.329415700020036
13,0.0,256,0,0.14285714285714285,11,0,1,1,0,metric_ff,,-0.06283049285411835,16.42498959999648,31.78211359999841
14,1.0,6,1,0.2,17,1,1,0,1,metric_ff,,-0.0761319026350975,17.948617000016384,18.3129581999965
