episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,0.0,258,0,0.0,0,0,none,RuntimeError: No AML model available yet; deferring to RL.,-0.08277479559183121,5.111289699998451,9.511209899996174
1,0.0,257,0,0.0,0,1,metric_ff,,-0.09134068340063095,4.906039399997098,10.070930999994744
2,1.0,6,1,0.3333333333333333,6,1,metric_ff,,-0.05283857509493828,5.263670800020918,5.400874999992084
3,1.0,5,1,0.5,11,1,metric_ff,,-0.07577245682477951,5.8549653999798466,5.970102399995085
4,0.0,265,0,0.4,11,1,metric_ff,,-0.06117582321166992,5.017515099985758,10.245234200003324
5,1.0,5,1,0.5,16,1,metric_ff,,-0.07631752640008926,5.09091339999577,5.604287800000748
6,0.0,269,0,0.42857142857142855,16,1,metric_ff,,-0.058286916464567184,6.03405250000651,11.012457100005122
7,0.0,258,0,0.375,16,1,metric_ff,,-0.0626099556684494,5.569216400006553,10.499107399984496
8,0.0,262,0,0.3333333333333333,16,1,metric_ff,,-0.0580446831882,4.862168000021484,9.815650999982608
9,0.0,262,0,0.3,16,1,metric_ff,,-0.06934478878974915,6.060941500007175,10.843163499986986
10,0.0,259,0,0.2727272727272727,16,1,metric_ff,,-0.058452729135751724,5.783113999990746,10.72346550002112
11,1.0,189,1,0.3333333333333333,205,1,metric_ff,,-0.04401199519634247,5.541214700002456,9.083517799997935
12,0.0,271,0,0.3076923076923077,205,1,metric_ff,,-0.057948291301727295,5.0922045999905095,10.707222199998796
13,1.0,5,1,0.35714285714285715,210,1,metric_ff,,-0.056444693356752396,4.906980300002033,5.0289136999926995
14,1.0,133,1,0.4,343,1,metric_ff,,-0.05857524648308754,5.178417199989781,8.162698500003899
15,0.0,269,0,0.375,343,1,metric_ff,,-0.06487476080656052,5.7536581000022124,10.642753499996616
16,0.0,259,0,0.35294117647058826,343,1,metric_ff,,-0.05191858112812042,4.787926100019831,9.79717669999809
17,0.0,265,0,0.3333333333333333,343,1,metric_ff,,-0.05593130365014076,4.952577800024301,10.052804100007052
18,0.0,266,0,0.3157894736842105,343,1,metric_ff,,-0.03784167021512985,4.86069640002097,10.383441200014204
19,0.0,266,0,0.3,343,1,metric_ff,,-0.06440046429634094,5.294472599984147,10.369444899988594
20,0.0,263,0,0.2857142857142857,343,1,metric_ff,,-0.06022772938013077,4.963898700021673,10.12977949998458
21,1.0,5,1,0.3181818181818182,348,1,metric_ff,,-0.0565856397151947,5.2388453999883495,5.36793479998596
22,1.0,5,1,0.34782608695652173,353,1,metric_ff,,-0.05158894881606102,4.519714499998372,4.682100599980913
23,0.0,269,0,0.3333333333333333,353,1,metric_ff,,-0.05949569121003151,5.552805999992415,10.771836900006747
24,0.0,262,0,0.32,353,1,metric_ff,,-0.05920188128948212,5.1358474000007845,10.2895220000064
25,1.0,214,1,0.36,567,1,metric_ff,,-0.07970920950174332,5.192824099998688,9.455492700013565
26,0.0,262,0,0.36,567,1,metric_ff,,-0.05614372715353966,5.040405300009297,10.460343499988085
27,0.0,258,0,0.32,567,1,metric_ff,,-0.07812778651714325,5.7709790999942925,11.035158799990313
28,1.0,232,1,0.32,799,1,metric_ff,,-0.04628150165081024,4.991919499996584,9.244381800002884
29,1.0,175,1,0.36,974,1,metric_ff,,-0.051452092826366425,5.114835799991852,8.591950700007146
30,1.0,239,1,0.36,1213,1,metric_ff,,-0.061669331043958664,4.741898799984483,9.562977800000226
31,1.0,6,1,0.4,1219,1,metric_ff,,-0.04196746647357941,4.869079199997941,5.062324800004717
32,0.0,264,0,0.4,1219,1,metric_ff,,-0.05086468905210495,5.18861090001883,10.868359300016891
33,0.0,260,0,0.4,1219,1,metric_ff,,-0.043880023062229156,4.956535400007851,9.639328100020066
34,0.0,264,0,0.4,1219,1,metric_ff,,-0.033592741936445236,4.57414169999538,9.693706500023836
35,1.0,141,1,0.44,1360,1,metric_ff,,-0.024119358509778976,4.402010300022084,7.401032800000394
36,1.0,6,1,0.44,1366,1,metric_ff,,-0.02654721774160862,4.359356200002367,4.526839300000574
37,1.0,27,1,0.48,1393,1,metric_ff,,-0.04527698829770088,4.20677479999722,4.7926857999991626
38,1.0,6,1,0.48,1399,1,metric_ff,,-0.031014420092105865,3.538198900001589,3.7475408000173047
39,1.0,115,1,0.48,1514,1,metric_ff,,-0.036929652094841,3.5634804999863263,5.686891600023955
40,1.0,6,1,0.52,1520,1,metric_ff,,-0.029533755034208298,3.255953399988357,3.4594544999999925
41,1.0,5,1,0.56,1525,1,metric_ff,,-0.02057662419974804,2.746066099993186,2.9322848999872804
42,0.0,274,0,0.56,1525,1,metric_ff,,-0.016978660598397255,2.537033500004327,7.522302299999865
43,0.0,267,0,0.56,1525,1,metric_ff,,-0.026189742609858513,2.7263159999856725,7.637315600004513
44,0.0,260,0,0.56,1525,1,metric_ff,,-0.013491945341229439,2.819914699997753,7.845347399997991
45,1.0,257,1,0.6,1782,1,metric_ff,,-0.027075396850705147,2.5793936000263784,8.096707299991976
46,0.0,272,0,0.56,1782,1,metric_ff,,-0.01562945730984211,2.973703099996783,8.163652899995213
47,1.0,6,1,0.56,1788,1,metric_ff,,-0.02065974846482277,2.5893225999898277,2.769324599998072
48,0.0,272,0,0.56,1788,1,metric_ff,,-0.02294629067182541,2.5185851999849547,7.814149499987252
49,1.0,5,1,0.6,1793,1,metric_ff,,-0.022531047463417053,2.1489996000018436,2.7813890000106767
50,0.0,256,0,0.56,1793,1,metric_ff,,-0.008144360035657883,2.024123699986376,7.44338979999884
51,0.0,273,0,0.56,1793,1,metric_ff,,-0.011901217512786388,2.1369753000035416,7.866717600001721
52,0.0,264,0,0.56,1793,1,metric_ff,,-0.019154824316501617,2.237334399978863,7.126543899998069
53,0.0,268,0,0.52,1793,1,metric_ff,,-0.009556461125612259,2.1434345999732614,7.597258399997372
54,0.0,258,0,0.48,1793,1,metric_ff,,-0.008611952885985374,2.087651600013487,7.002567299990915
55,0.0,269,0,0.44,1793,1,metric_ff,,-0.01755642518401146,2.2075256000098307,7.6109099999885075
56,0.0,263,0,0.4,1793,1,metric_ff,,-0.02450718730688095,2.944858300004853,7.801938799995696
57,1.0,6,1,0.44,1799,1,metric_ff,,-0.0034842186141759157,2.1736947000026703,2.434162899997318
58,1.0,5,1,0.48,1804,1,metric_ff,,-0.01384357176721096,2.3478001999901608,2.5836928999924567
