episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_plan_found,planner_fallback_to_rl,planner_solved,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,0.0,253,0,0.0,0,0,0,0,0,none,RuntimeError: No AML model available yet; deferring to RL.,-0.09198460727930069,11.58646459999727,21.701112299982924
1,0.0,252,0,0.0,0,0,1,1,0,metric_ff,,-0.09306929260492325,13.145203799998853,23.86093249998521
2,1.0,9,1,0.3333333333333333,9,0,1,1,0,metric_ff,,-0.11893469095230103,13.036024900036864,13.414594999980181
3,0.0,256,0,0.25,9,0,1,1,0,metric_ff,,-0.10262325406074524,12.510161100013647,24.286876400001347
4,1.0,61,1,0.4,70,0,1,1,0,metric_ff,,-0.07811254262924194,12.560359099996276,15.325557000003755
5,0.0,255,0,0.3333333333333333,70,0,1,1,0,metric_ff,,-0.10521954298019409,11.34478530002525,22.98281879996648
6,0.0,256,0,0.2857142857142857,70,0,1,1,0,metric_ff,,-0.10440755635499954,11.3042279999936,22.896093699964695
7,1.0,5,1,0.375,75,1,1,0,1,metric_ff,,-0.09899504482746124,12.472641300002579,12.698553700000048
8,1.0,121,1,0.4444444444444444,196,0,1,1,0,metric_ff,,-0.07924780249595642,11.57259300001897,16.542852699989453
9,0.0,253,0,0.4,196,0,1,1,0,metric_ff,,-0.08636875450611115,10.775573700026143,22.408531399967615
10,0.0,256,0,0.36363636363636365,196,0,1,1,0,metric_ff,,-0.057475414127111435,9.9842357999878,21.248448900005314
11,0.0,253,0,0.3333333333333333,196,0,1,1,0,metric_ff,,-0.06762699782848358,11.039590700005647,22.481829900003504
12,0.0,252,0,0.3076923076923077,196,0,1,1,0,metric_ff,,-0.04467302933335304,9.318968699953984,21.052854600013234
13,0.0,254,0,0.2857142857142857,196,0,1,1,0,metric_ff,,-0.0421699620783329,8.250363599974662,19.897856099996716
14,0.0,254,0,0.26666666666666666,196,0,1,1,0,metric_ff,,-0.0687221959233284,8.81309730000794,20.08488610002678
15,1.0,6,1,0.3125,202,1,1,0,1,metric_ff,,-0.04960646852850914,8.182754900015425,8.494859100028407
16,1.0,92,1,0.35294117647058826,294,0,1,1,0,metric_ff,,-0.05512796714901924,8.447658799996134,12.533702999993693
