episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,1.0,196,1,1.0,196,0,none,RuntimeError: No AML model available yet; deferring to RL.,nan,1.2345500999945216,2.2857042999821715
1,0.0,288,0,0.5,196,1,metric_ff,,0.09359103441238403,1.3873462999763433,3.5360278000007384
2,1.0,107,1,0.6666666666666666,303,1,metric_ff,,0.012776433490216732,1.1051229999866337,1.6858696000126656
3,1.0,13,1,0.75,316,1,metric_ff,,0.035975679755210876,1.02325369999744,1.1094410000077914
4,0.0,281,0,0.6,316,1,metric_ff,,0.03435596078634262,0.9847405000182334,2.4376591999898665
5,1.0,5,1,0.6666666666666666,321,1,metric_ff,,0.048471659421920776,1.1817066999792587,1.2258372000069357
6,1.0,160,1,0.7142857142857143,481,1,metric_ff,,0.03214859962463379,1.1181513000046834,1.9236263999773655
7,1.0,146,1,0.75,627,1,metric_ff,,0.02704787440598011,1.034942400001455,1.8879810000071302
8,1.0,133,1,0.7777777777777778,760,1,metric_ff,,0.03554471582174301,1.7257693000137806,2.5121268999937456
9,1.0,94,1,0.8,854,1,metric_ff,,0.01524112094193697,1.1254140000091866,1.6923646999930497
10,1.0,15,1,0.8181818181818182,869,1,metric_ff,,0.02959851548075676,1.2027298999892082,1.3158283999946434
11,1.0,22,1,0.8333333333333334,891,1,metric_ff,,0.03553393483161926,1.1793602000107057,1.3171939000021666
12,1.0,53,1,0.8461538461538461,944,1,metric_ff,,0.011436774395406246,1.328551399987191,1.6463691999961156
13,1.0,56,1,0.8571428571428571,1000,1,metric_ff,,0.027659982442855835,1.0671819999988656,1.3664187999966089
14,0.0,295,0,0.8,1000,1,metric_ff,,0.037530526518821716,1.0689589999965392,2.6008418000128586
15,0.0,290,0,0.75,1000,1,metric_ff,,0.028895311057567596,1.700502099993173,3.2919210999971256
16,0.0,285,0,0.7058823529411765,1000,1,metric_ff,,0.025623874738812447,1.2382891000015661,2.7958914000191726
17,1.0,48,1,0.7222222222222222,1048,1,metric_ff,,0.01304103434085846,1.0915798000060022,1.3559131999791134
18,0.0,299,0,0.6842105263157895,1048,1,metric_ff,,0.00942733883857727,1.070085100014694,2.603056200023275
19,0.0,291,0,0.65,1048,1,metric_ff,,0.013979610987007618,1.1185703999944963,2.6107765000197105
20,0.0,291,0,0.6190476190476191,1048,1,metric_ff,,0.04251480475068092,1.1916258000128437,2.755051899992395
21,0.0,294,0,0.5909090909090909,1048,1,metric_ff,,0.032796259969472885,1.272947400022531,3.096641099982662
22,1.0,96,1,0.6086956521739131,1144,1,metric_ff,,0.025572627782821655,1.1757596000097692,1.7867948999919463
23,1.0,5,1,0.625,1149,1,metric_ff,,0.021113896742463112,1.280091699998593,1.3713933999824803
24,1.0,113,1,0.64,1262,1,metric_ff,,0.014358904212713242,1.093926300003659,1.7815760000084992
25,1.0,5,1,0.64,1267,1,metric_ff,,0.03192275017499924,1.0518137000035495,1.1446502000035252
26,1.0,5,1,0.68,1272,1,metric_ff,,0.010466547682881355,1.1330683999985922,1.2338455999852158
27,0.0,297,0,0.64,1272,1,metric_ff,,0.014812460169196129,1.107238900003722,2.671460300014587
28,1.0,80,1,0.64,1352,1,metric_ff,,0.012678338214755058,1.4551183999865316,1.9644739999785088
29,1.0,76,1,0.68,1428,1,metric_ff,,0.02374289743602276,1.1023753999907058,1.6858958000084385
30,1.0,9,1,0.68,1437,1,metric_ff,,0.008758585900068283,1.0813076000194997,1.211892400024226
31,1.0,5,1,0.68,1442,1,metric_ff,,0.01084549818187952,1.3295864000101574,1.4383312000136357
32,1.0,114,1,0.68,1556,1,metric_ff,,0.010043037123978138,1.133970800001407,1.798801500000991
