episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_plan_found,planner_fallback_to_rl,planner_solved,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
51,1.0,48,1,0.4,1741,0,1,1,0,metric_ff,,-0.04034928232431412,0.7657946999825072,0.9614378999976907
52,1.0,72,1,0.44,1813,0,1,1,0,metric_ff,,-0.003040207549929619,0.7575058999937028,1.0975591999886092
53,1.0,37,1,0.44,1850,0,1,1,0,metric_ff,,-0.006694487761706114,0.7688392999989446,0.9437197000079323
54,1.0,239,1,0.48,2089,0,1,1,0,metric_ff,,-0.030792439356446266,0.7002281000022776,1.41893740001251
55,1.0,96,1,0.48,2185,0,1,1,0,metric_ff,,-0.010960971936583519,0.7053423000033945,1.0243835999863222
56,1.0,216,1,0.52,2401,0,1,1,0,metric_ff,,-0.047099798917770386,0.7073159000137821,1.352690400002757
57,0.0,278,0,0.48,2401,0,1,1,0,metric_ff,,-0.05087447166442871,0.7257282999926247,1.5282308000023477
58,0.0,295,0,0.48,2401,0,1,1,0,metric_ff,,-0.014021715149283409,0.6299095000140369,1.4575363000039943
59,1.0,6,1,0.52,2407,1,1,0,1,metric_ff,,-0.02216321974992752,0.6762483000056818,0.7610451000218745
60,1.0,115,1,0.56,2522,0,1,1,0,metric_ff,,-0.0101839704439044,0.7292974000156391,1.1078943000175059
61,1.0,69,1,0.6,2591,0,1,1,0,metric_ff,,-0.00585244270041585,0.7215337000088766,0.982617300003767
62,0.0,278,0,0.6,2591,0,1,1,0,metric_ff,,-0.027610601857304573,0.6728335999941919,1.530998499976704
63,0.0,284,0,0.6,2591,0,1,1,0,metric_ff,,-0.016007356345653534,0.6378910999919754,1.4797124000033364
64,1.0,5,1,0.64,2596,1,1,0,1,metric_ff,,-0.012256445363163948,0.6832566999946721,0.7774399000045378
65,0.0,290,0,0.64,2596,0,1,1,0,metric_ff,,-0.019121140241622925,0.7131575000239536,1.5922161000198685
66,0.0,287,0,0.64,2596,0,1,1,0,metric_ff,,-0.015272957272827625,0.7537800999998581,1.6040558000095189
67,0.0,286,0,0.6,2596,0,1,1,0,metric_ff,,-0.012941690161824226,0.7356924000196159,1.56270469998708
68,0.0,280,0,0.56,2596,0,1,1,0,metric_ff,,-0.012899278663098812,0.6525802999967709,1.4800613000115845
69,1.0,170,1,0.56,2766,0,1,1,0,metric_ff,,-0.015397057868540287,0.6839826999930665,1.2463821999845095
70,1.0,5,1,0.6,2771,1,1,0,1,metric_ff,,-0.014544948935508728,0.6553006000176538,0.7650286999996752
71,0.0,293,0,0.56,2771,0,1,1,0,metric_ff,,-0.023595260456204414,0.7070251000113785,1.5702046999940649
72,1.0,63,1,0.56,2834,0,1,1,0,metric_ff,,-0.016185065731406212,0.6340188000176568,0.905123000004096
73,0.0,289,0,0.52,2834,0,1,1,0,metric_ff,,-0.007054726127535105,0.695002199994633,1.5615402000257745
74,1.0,154,1,0.56,2988,0,1,1,0,metric_ff,,-0.0009437204571440816,0.6409071999951266,1.2381420000165235
75,1.0,151,1,0.6,3139,0,1,1,0,metric_ff,,0.0001989643060369417,0.6296022000024095,1.1239699000143446
76,0.0,291,0,0.56,3139,0,1,1,0,metric_ff,,-0.01624993048608303,0.6098739999870304,1.4615164000133518
77,0.0,287,0,0.52,3139,0,1,1,0,metric_ff,,-0.004562941379845142,0.7243964999797754,1.562444500013953
78,1.0,23,1,0.52,3162,0,1,1,0,metric_ff,,-0.009137231856584549,0.894717799994396,1.0713916000095196
79,1.0,38,1,0.52,3200,0,1,1,0,metric_ff,,-0.014681857079267502,0.8556913000065833,1.067219299991848
80,1.0,5,1,0.52,3205,1,1,0,1,metric_ff,,-0.029818426817655563,0.9461692999757361,1.2099815999972634
81,1.0,5,1,0.52,3210,1,1,0,1,metric_ff,,-0.03871091455221176,0.7919884000148159,1.0015551000251435
82,0.0,288,0,0.52,3210,0,1,1,0,metric_ff,,-0.011262519285082817,0.7329281999845989,1.693090899992967
83,1.0,5,1,0.56,3215,1,1,0,1,metric_ff,,-0.0011749658733606339,0.6360448999912478,0.7500818000116851
84,1.0,6,1,0.56,3221,1,1,0,1,metric_ff,,-0.015103381127119064,0.6255757000180893,0.740631199994823
85,0.0,290,0,0.52,3221,0,1,1,0,metric_ff,,-0.0042038061656057835,0.5998347999993712,1.4477272999938577
86,0.0,282,0,0.48,3221,0,1,1,0,metric_ff,,-0.014500889927148819,0.6044229000108317,1.4588365999807138
87,0.0,296,0,0.48,3221,0,1,1,0,metric_ff,,-0.008783049881458282,0.6068859999941196,1.4665917000093032
88,1.0,51,1,0.52,3272,0,1,1,0,metric_ff,,-0.010418097488582134,0.5756906000024173,0.816057499992894
89,0.0,290,0,0.48,3272,0,1,1,0,metric_ff,,-0.015494139865040779,0.5922412000072654,1.4394165000121575
90,0.0,290,0,0.48,3272,0,1,1,0,metric_ff,,-0.006439709570258856,0.633440800011158,1.484575099981157
91,1.0,5,1,0.52,3277,1,1,0,1,metric_ff,,-0.010539159178733826,0.6153538000071421,0.8126341000024695
92,0.0,301,0,0.52,3277,0,1,1,0,metric_ff,,-0.01937505044043064,0.6280096999835223,1.5145514000032563
93,0.0,281,0,0.52,3277,0,1,1,0,metric_ff,,-0.02839638851583004,0.6690295000153128,1.527732200018363
94,0.0,298,0,0.48,3277,0,1,1,0,metric_ff,,-0.004628198221325874,0.6367792999953963,1.5902435000170954
95,1.0,5,1,0.48,3282,1,1,0,1,metric_ff,,-0.03528580442070961,0.8542900000174996,0.9798331999918446
96,0.0,289,0,0.48,3282,0,1,1,0,metric_ff,,-0.05017833039164543,0.6458737000066321,1.6481485000113025
97,1.0,46,1,0.48,3328,0,1,1,0,metric_ff,,-0.01546283345669508,0.6178772999846842,0.8735473000269849
98,1.0,105,1,0.52,3433,0,1,1,0,metric_ff,,-0.021587584167718887,0.6657325999985915,1.0776522000087425
99,1.0,5,1,0.52,3438,1,1,0,1,metric_ff,,-0.008420633152127266,0.6684752999863122,0.8025290999794379
100,0.0,292,0,0.48,3438,0,1,1,0,metric_ff,,-0.04935381934046745,0.6890804000140633,1.5595054999866989
101,0.0,296,0,0.48,3438,0,1,1,0,metric_ff,,-0.006489482242614031,0.5875262999907136,1.4579104000004008
102,1.0,5,1,0.52,3443,1,1,0,1,metric_ff,,-0.015306730754673481,0.7510960000217892,0.8874423000088427
103,0.0,297,0,0.48,3443,0,1,1,0,metric_ff,,-0.026674266904592514,0.7116653999837581,1.6172364999947604
104,1.0,148,1,0.48,3591,0,1,1,0,metric_ff,,-0.024039732292294502,0.6823692999896593,1.1913510999875143
105,1.0,29,1,0.48,3620,0,1,1,0,metric_ff,,-0.033917173743247986,0.6446500000020023,0.8496758000110276
106,1.0,277,1,0.48,3897,0,1,1,0,metric_ff,,-0.013049524277448654,0.6256850000063423,1.4877939999860246
107,1.0,5,1,0.52,3902,1,1,0,1,metric_ff,,-0.0010109919821843505,0.6293011000088882,0.7640458000241779
108,0.0,274,0,0.48,3902,0,1,1,0,metric_ff,,-0.01708231121301651,0.633637400023872,1.5060183000168763
109,1.0,46,1,0.48,3948,0,1,1,0,metric_ff,,-0.007553094066679478,0.5942775000003166,0.836228400003165
