episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,1.0,190,1,1.0,190,0,none,RuntimeError: No AML model available yet; deferring to RL.,-0.08518487215042114,5.294905600021593,9.573668500001077
1,1.0,5,1,1.0,195,1,metric_ff,,-0.07593612372875214,5.1407847000227775,5.231496099993819
2,0.0,272,0,0.6666666666666666,195,1,metric_ff,,-0.07939013093709946,4.9837724000099115,10.10948310000822
3,1.0,6,1,0.75,201,1,metric_ff,,-0.06765962392091751,5.536312900017947,5.637457799981348
4,1.0,5,1,0.8,206,1,metric_ff,,-0.06361126154661179,5.609736699989298,5.7154263999836985
5,0.0,264,0,0.6666666666666666,206,1,metric_ff,,-0.054058875888586044,5.7309892999765,10.778522799984785
6,0.0,259,0,0.5714285714285714,206,1,metric_ff,,-0.0609331876039505,5.084305099997437,10.04423400000087
7,0.0,267,0,0.5,206,1,metric_ff,,-0.05879194289445877,5.367713299987372,10.37205870001344
8,0.0,269,0,0.4444444444444444,206,1,metric_ff,,-0.04850457236170769,4.919640799984336,10.16138159998809
9,0.0,261,0,0.4,206,1,metric_ff,,-0.052847202867269516,5.995473299990408,11.216580500011332
10,0.0,258,0,0.36363636363636365,206,1,metric_ff,,-0.06455666571855545,5.742540600011125,10.580349900003057
11,1.0,6,1,0.4166666666666667,212,1,metric_ff,,-0.054067157208919525,5.168945000012172,5.336886799981585
12,0.0,265,0,0.38461538461538464,212,1,metric_ff,,-0.026399856433272362,5.235031499993056,10.055392000009306
13,0.0,261,0,0.35714285714285715,212,1,metric_ff,,-0.04842597246170044,4.934545199997956,10.110157599992817
14,0.0,258,0,0.3333333333333333,212,1,metric_ff,,-0.027701091021299362,5.010441100021126,10.380663899995852
15,1.0,164,1,0.375,376,1,metric_ff,,-0.050519317388534546,5.486636699992232,8.637570699997013
16,1.0,197,1,0.4117647058823529,573,1,metric_ff,,-0.04504449665546417,4.201583399990341,8.085345100000268
17,0.0,258,0,0.3888888888888889,573,1,metric_ff,,-0.04708269611001015,4.440646999981254,9.27849620001507
18,0.0,258,0,0.3684210526315789,573,1,metric_ff,,-0.030305808410048485,5.554901399998926,10.501580100011779
19,0.0,262,0,0.35,573,1,metric_ff,,-0.05015500634908676,5.379150099994149,10.467975999985356
20,0.0,263,0,0.3333333333333333,573,1,metric_ff,,-0.05820261687040329,5.013172100007068,10.129498599999351
21,0.0,262,0,0.3181818181818182,573,1,metric_ff,,-0.0476120263338089,4.968999699980486,10.569911600003252
22,0.0,267,0,0.30434782608695654,573,1,metric_ff,,-0.04937425255775452,5.531300500006182,10.641394100006437
23,0.0,266,0,0.2916666666666667,573,1,metric_ff,,-0.03276959806680679,4.9411676000163425,10.0571898999915
24,0.0,261,0,0.28,573,1,metric_ff,,-0.039877910166978836,4.853093799989438,10.262577599991346
25,0.0,256,0,0.24,573,1,metric_ff,,-0.04404338449239731,4.846889200009173,10.559432300011395
26,1.0,16,1,0.24,589,1,metric_ff,,-0.03644712269306183,4.291645999997854,4.666519499995047
27,0.0,263,0,0.24,589,1,metric_ff,,-0.042829692363739014,4.790402899991022,10.448142000008374
28,0.0,263,0,0.2,589,1,metric_ff,,-0.03244655206799507,5.255778799997643,9.722679500002414
29,0.0,266,0,0.16,589,1,metric_ff,,-0.03172220289707184,4.593345100001898,9.848425400006818
30,0.0,276,0,0.16,589,1,metric_ff,,-0.05085868388414383,4.776250000024447,10.247551500011468
31,0.0,263,0,0.16,589,1,metric_ff,,-0.07118993997573853,5.024705699994229,10.220629900024505
32,0.0,265,0,0.16,589,1,metric_ff,,-0.04818982258439064,5.468457900016801,10.182958399993367
33,0.0,256,0,0.16,589,1,metric_ff,,-0.03439445421099663,4.300582299998496,9.426022400002694
34,0.0,264,0,0.16,589,1,metric_ff,,-0.04646887630224228,4.7697891000134405,10.335096599999815
35,0.0,261,0,0.16,589,1,metric_ff,,-0.04405570030212402,5.083672699984163,9.752283000008902
36,1.0,11,1,0.16,600,1,metric_ff,,-0.05846402421593666,4.663855199993122,4.948992999998154
37,0.0,255,0,0.16,600,1,metric_ff,,-0.03729356825351715,5.459272099978989,10.24898070000927
38,0.0,259,0,0.16,600,1,metric_ff,,-0.036303676664829254,4.9308566999970935,10.044312500016531
39,1.0,6,1,0.2,606,1,metric_ff,,-0.046808138489723206,4.923933600017335,5.162823799997568
40,0.0,261,0,0.16,606,1,metric_ff,,-0.043354377150535583,5.128266599989729,10.089153000008082
41,0.0,260,0,0.12,606,1,metric_ff,,-0.03195059671998024,4.548889199999394,9.705201700009638
42,0.0,267,0,0.12,606,1,metric_ff,,-0.055815406143665314,4.51186400000006,10.183834800001932
43,0.0,261,0,0.12,606,1,metric_ff,,-0.027942311018705368,4.512813299981644,10.286117499985266
44,0.0,261,0,0.12,606,1,metric_ff,,-0.0389191173017025,4.823393800004851,9.569453900010558
45,0.0,263,0,0.12,606,1,metric_ff,,-0.030813680961728096,4.855423000000883,10.052394400001504
46,0.0,262,0,0.12,606,1,metric_ff,,-0.05678514018654823,4.877570399985416,10.216798800014658
47,1.0,243,1,0.16,849,1,metric_ff,,-0.05382551997900009,5.090012500004377,9.578535700013163
